Ticker,Entry,StopLoss,TakeProfit,Range,Score,MastStart,MastEnd,FlagStart,FlagEnd,BreakoutTime
DTE.DE,33.380001068115234,32.665000915527344,36.2400016784668,2.8600006103515625,5.5447052824334815,2026-02-10,2026-03-05,2026-03-06,2026-03-12,2026-03-13
AD.AS,42.06999969482422,39.842498779296875,50.980003356933594,8.910003662109375,22.06509212929777,2026-01-28,2026-02-24,2026-02-25,2026-03-12,2026-03-13
DB1.DE,245.3000030517578,235.60000228881836,284.1000061035156,38.80000305175781,12.37580167747604,2026-02-11,2026-03-06,2026-03-09,2026-03-12,2026-03-13
KPN.AS,4.8460001945495605,4.627000212669373,5.7220001220703125,0.875999927520752,14.838282237696623,2026-01-16,2026-02-12,2026-02-13,2026-03-12,2026-03-13
SRG.MI,6.5920000076293945,6.462999939918518,7.1080002784729,0.5160002708435059,4.556116507056667,2026-02-09,2026-03-06,2026-03-09,2026-03-12,2026-03-13
