Ticker,Entry,StopLoss,TakeProfit,Range,Score,MastStart,MastEnd,FlagStart,FlagEnd,BreakoutTime
BA.L,2304.0,2291.75,2353.0,49.0,0.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
SSE.L,2750.0,2741.0,2786.0,36.0,0.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
EOAN.DE,20.049999237060547,19.999999046325684,20.25,0.20000076293945312,0.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
CNA.L,209.10000610351562,208.90000534057617,209.90000915527344,0.8000030517578125,4.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
DB1.DE,245.1999969482422,243.3499984741211,252.59999084472656,7.399993896484375,4.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
TELIA.ST,47.619998931884766,47.46249961853027,48.249996185302734,0.6299972534179688,8.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
HEXA-B.ST,102.4000015258789,102.08000183105469,103.68000030517578,1.279998779296875,0.0,2026-03-02,2026-03-04,2026-03-05,2026-03-11,2026-03-13
